Title,Memory,Display,Camera,Battery,Processor,Selling_price,Cost_price,Rating,Discount
Realme XT (Pearl Blue| 128 GB)|,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,FHD+ Super AMOLED Display,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4000 mAh Battery,Qualcomm 712 Processor,18999,19999,4.5,5% off
Vivo Y91 (Starry Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 439 Processor,8490,10990,4.4,22% off
Realme XT (Pearl Blue| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,FHD+ Super AMOLED Display,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4000 mAh Battery,Qualcomm 712 Processor,16999,17999,4.5,5% off
Realme XT (Pearl Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,FHD+ Super AMOLED Display,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4000 mAh Battery,Qualcomm 712 Processor,15999,16999,4.5,5% off
Redmi Note 7 Pro (Nebula Red| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,10999,16999,4.5,35% off
Apple iPhone XS (Gold| 64 GB)|,64 GB ROM |,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,,A12 Bionic Chip Processor,59999,89900,4.7,33% off
Motorola One Macro (Space Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.75 cm (6.2 inch) HD+ Display,Dedicated Macro Camera,4000 mAh Battery,MediaTek Helio P70 Processor,8999,11999,4.3,25% off
OPPO A7 (Glaze Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 16MP Front Camera,4230 mAh Battery,Qualcomm Snapdragon 450 Processor,9990,18990,4.4,47% off
Vivo Y19 (Spring White| 128 GB)|,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Li-ion Battery,Helio P65 Processor,13990,15990,4.4,12% off
POCO X2 (Atlantis Blue| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,15999,17999,4.9,11% off
Honor 9X (Midnight Black| 128 GB)|,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,Pop Up AI Selfie camera with Full View Display,48MP + 8MP + 2MP | 16MP Front Camera,4000 mAh Lithium Polymer Battery,Kirin 710F Processor,13999,15999,4.4,12% off
Redmi Go (Black| 16 GB)|,1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,4499,5999,4.3,25% off
